Title,"This is a new, still in box Toro two-cycle weed eater.  Able to use many attachments.  Comes with an easy to string head.  Call Jeff if Interested 
 show contact info"
Body,Toro 17 Inch Curved Shaft Weed Eater - $110 (Firestone)
Title,"This is a great deal this is new and never been out of box.  Same weed eater is $150.00+ at the stores.  Its a 17 inch curved shaft with the string head attachment.  Other attachments are available.  Call Jeff if interested 
 show contact info"
Body,Toro Curved Shaft Gas Weed Eater - $110 (Firestone)
Title,Like new works great. Out of bags.
Body,Ultrex pack n save food/weed sealer - $20
Title,"Almost new...only about a gram and a half through it. 3-piece plastic with a screen in the middle section.

If it matters to you, about one gram of El Diablo has gone thru it and about a half gram of Purps-3. The guy was a little unclear, but think those are both Indica dominant hybrids."
Body,Herb / Weed Grinder - $10
Title,Weed whacker is made by Electra Industries
Body,Weed whacker - $50 (Downtown)
Title,Weed whacker is made by Electra Industries
Body,Weed whacker - $50 (Downtown)
Title,"Hello,

 Im looking for someone to teach me how to grow weed, i want to grow weed to support my habit, if you know how to grow weed or have seeds (male and female) please contact me maybe we can work a deal out."
Body,Looking for weed growers
Title,"I have a hand made metal weed leaf for sale. This was cut at a local metal machine shop here in Denver. This is one of a kind, and was custom cut. This would be great as a gift or even great to just hang on a wall or prop or a ledge or counter. If interested you can contact me by email or phone 
 show contact info
 my name is Frank."
Body,"Metal Hand Made Weed Leaf - $40 (Arvada, CO)"
Title,"FREE SHIPPING!

 You can view and order this or other Distinctive Hand Crafted items at my shop 
 on Etsy or Ebay: MissLindaT

Black Ganja Leaf is made with high quality Stained Glass and Materials. This is a custom made product from start to finish. 

Black Ganja Leaf has been exclusively designed. It is invariably a balance between artistic expression and superlative technique.

Black Ganja Leaf - Exclusive Rare Custom made Stained Glass Sun Catcher comes with a LIFETIME STRUCTUAL GUARANTEE and will last many decades with no mechanical problems.


Product Dimensions

Length: 8""
Width: 8""

Stained glass, is an art which, requires artistic skill to conceive an appropriate and workable design, and engineering skills to assemble the piece.

 You can view and order this or other Distinctive Hand Crafted items at my shop 
 on Etsy or Ebay: MissLindaT

Hand Crafted in U.S.A.

Hand Signed by Artist"
Body,Black Ganja Leaf - Marijuana Weed Stained Glass Sun Catcher - $65 (Orange City)
Title,The engine is in good condition but it is missing the front extension.
Body,Ryobi Weed Eater - $20
Title,"I am moving and must downsize. I am selling several tools.  Echo Weed Eater in great condition. $75. call or text Bryan 
 show contact info"
Body,Echo Weed Eater - $75 (SE Denver)
Title,"I got Jamaican fire prerolls. And some edibles


 show contact info"
Body,24 hour weed
Title,"Looking to buy 1/8-1/4 of a strong sativa. 
Contact me if you sell. 
Thank you!"
Body,Looking to buy Weed (denver)
Title,"Up for sale is a Weed Eater rechargeable blower. Unit works perfectly. I paid $75 for this item originally. Call Brian at 
 show contact info"
Body,WEED EATER RECHARGEABLE BLOWER - $25 (Denver)
Title,"Gas powered Echo SRM 210 weed eater.  New it sells for $250.00
So I figured $100.00 was a real good price.
Runs perfect, nothing is wrong with it.
My wife is making me sell it because we have a lawn service now.
My loss is your gain.

Call anytime 
ask for sean

 show contact info"
Body,Echo Gas powered weed eater - $100 (lone tree)
Title,"Home Lite Weed trimmer 
Classic Model HLT-15
Stopped running, Not sure why, Changed the plug and the fuel but still cannot get it to re start
Probably an easy fix for someone that's mechanical
Asking $20 for it or best offer"
Body,Home Lite Weed trimmer - $20 (Elizabeth)
